airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.115+0000] {settings.py:241} DEBUG - Setting up DB connection pool (PID 7)
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.759+0000] {serde.py:339} DEBUG - registering datetime.timedelta for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.759+0000] {serde.py:339} DEBUG - registering pendulum.datetime.DateTime for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.759+0000] {serde.py:346} DEBUG - registering datetime.date for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.759+0000] {serde.py:346} DEBUG - registering datetime.datetime for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.760+0000] {serde.py:346} DEBUG - registering datetime.timedelta for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.760+0000] {serde.py:346} DEBUG - registering pendulum.datetime.DateTime for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.760+0000] {serde.py:339} DEBUG - registering deltalake.table.DeltaTable for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.760+0000] {serde.py:346} DEBUG - registering deltalake.table.DeltaTable for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.760+0000] {serde.py:354} DEBUG - registering deltalake.table.DeltaTable for stringifying
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.760+0000] {serde.py:339} DEBUG - registering pyiceberg.table.Table for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.761+0000] {serde.py:346} DEBUG - registering pyiceberg.table.Table for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.761+0000] {serde.py:354} DEBUG - registering pyiceberg.table.Table for stringifying
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.761+0000] {serde.py:339} DEBUG - registering kubernetes.client.models.v1_resource_requirements.V1ResourceRequirements for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.761+0000] {serde.py:339} DEBUG - registering kubernetes.client.models.v1_pod.V1Pod for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.761+0000] {serde.py:339} DEBUG - registering numpy.int8 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.int16 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.int32 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.int64 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.uint8 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.uint16 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.uint32 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.uint64 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.bool_ for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.762+0000] {serde.py:339} DEBUG - registering numpy.float64 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.763+0000] {serde.py:339} DEBUG - registering numpy.float16 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.763+0000] {serde.py:339} DEBUG - registering numpy.complex128 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.763+0000] {serde.py:339} DEBUG - registering numpy.complex64 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.763+0000] {serde.py:346} DEBUG - registering numpy.int8 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.763+0000] {serde.py:346} DEBUG - registering numpy.int16 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.763+0000] {serde.py:346} DEBUG - registering numpy.int32 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.763+0000] {serde.py:346} DEBUG - registering numpy.int64 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.763+0000] {serde.py:346} DEBUG - registering numpy.uint8 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.764+0000] {serde.py:346} DEBUG - registering numpy.uint16 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.764+0000] {serde.py:346} DEBUG - registering numpy.uint32 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.764+0000] {serde.py:346} DEBUG - registering numpy.uint64 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.764+0000] {serde.py:346} DEBUG - registering numpy.bool_ for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.764+0000] {serde.py:346} DEBUG - registering numpy.float64 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.764+0000] {serde.py:346} DEBUG - registering numpy.float16 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.764+0000] {serde.py:346} DEBUG - registering numpy.complex128 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.764+0000] {serde.py:346} DEBUG - registering numpy.complex64 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.765+0000] {serde.py:339} DEBUG - registering pandas.core.frame.DataFrame for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.765+0000] {serde.py:346} DEBUG - registering pandas.core.frame.DataFrame for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.765+0000] {serde.py:339} DEBUG - registering pendulum.tz.timezone.FixedTimezone for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.765+0000] {serde.py:339} DEBUG - registering pendulum.tz.timezone.Timezone for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.765+0000] {serde.py:339} DEBUG - registering backports.zoneinfo.ZoneInfo for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.765+0000] {serde.py:346} DEBUG - registering pendulum.tz.timezone.FixedTimezone for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.765+0000] {serde.py:346} DEBUG - registering pendulum.tz.timezone.Timezone for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.765+0000] {serde.py:346} DEBUG - registering backports.zoneinfo.ZoneInfo for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:34.766+0000] {serde.py:357} DEBUG - loading serializers took 0.010 seconds
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.189+0000] {providers_manager.py:375} DEBUG - Initializing Providers Manager[config]
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.190+0000] {providers_manager.py:375} DEBUG - Initializing Providers Manager[list]
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.213+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.mysql.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-mysql
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.215+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.openlineage.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-openlineage
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.217+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.hashicorp.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-hashicorp
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.218+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.google.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-google
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.224+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.cncf.kubernetes.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-cncf-kubernetes
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.228+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.sendgrid.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-sendgrid
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.229+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.microsoft.azure.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-microsoft-azure
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.232+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.ftp.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-ftp
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.233+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.ssh.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-ssh
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.234+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.postgres.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-postgres
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.235+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.docker.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-docker
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.237+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.elasticsearch.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-elasticsearch
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.239+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.slack.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-slack
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.241+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.grpc.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-grpc
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.242+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.odbc.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-odbc
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.243+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.sftp.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-sftp
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.244+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.common.sql.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-common-sql
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.246+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.common.io.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-common-io
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.247+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.imap.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-imap
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.248+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.redis.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-redis
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.249+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.celery.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-celery
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.253+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.snowflake.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-snowflake
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.255+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.sqlite.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-sqlite
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.256+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.http.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-http
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.258+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.amazon.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-amazon
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.263+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.daskexecutor.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-daskexecutor
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.264+0000] {providers_manager.py:378} DEBUG - Initialization of Providers Manager[list] took 0.07 seconds
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.264+0000] {configuration.py:1816} DEBUG - Loading providers configuration
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.337+0000] {providers_manager.py:378} DEBUG - Initialization of Providers Manager[config] took 0.15 seconds
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:35.340+0000] {cli_action_loggers.py:67} DEBUG - Calling callbacks: [<function default_action_log at 0x7f1c36f77ca0>]
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.081+0000] {settings.py:241} DEBUG - Setting up DB connection pool (PID 37)
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.082+0000] {settings.py:342} DEBUG - settings.prepare_engine_args(): Using pool settings. pool_size=5, max_overflow=10, pool_recycle=1800, pid=37
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.509+0000] {serde.py:339} DEBUG - registering decimal.Decimal for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.509+0000] {serde.py:346} DEBUG - registering decimal.Decimal for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.510+0000] {serde.py:339} DEBUG - registering builtins.frozenset for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.510+0000] {serde.py:339} DEBUG - registering builtins.set for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.510+0000] {serde.py:339} DEBUG - registering builtins.tuple for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.510+0000] {serde.py:346} DEBUG - registering builtins.frozenset for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.510+0000] {serde.py:346} DEBUG - registering builtins.set for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.510+0000] {serde.py:346} DEBUG - registering builtins.tuple for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.510+0000] {serde.py:354} DEBUG - registering builtins.frozenset for stringifying
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.510+0000] {serde.py:354} DEBUG - registering builtins.set for stringifying
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.511+0000] {serde.py:354} DEBUG - registering builtins.tuple for stringifying
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.511+0000] {serde.py:339} DEBUG - registering datetime.date for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.511+0000] {serde.py:339} DEBUG - registering datetime.datetime for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.511+0000] {serde.py:339} DEBUG - registering datetime.timedelta for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.511+0000] {serde.py:339} DEBUG - registering pendulum.datetime.DateTime for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.511+0000] {serde.py:346} DEBUG - registering datetime.date for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.512+0000] {serde.py:346} DEBUG - registering datetime.datetime for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.512+0000] {serde.py:346} DEBUG - registering datetime.timedelta for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.512+0000] {serde.py:346} DEBUG - registering pendulum.datetime.DateTime for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.512+0000] {serde.py:339} DEBUG - registering deltalake.table.DeltaTable for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.512+0000] {serde.py:346} DEBUG - registering deltalake.table.DeltaTable for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.512+0000] {serde.py:354} DEBUG - registering deltalake.table.DeltaTable for stringifying
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.512+0000] {serde.py:339} DEBUG - registering pyiceberg.table.Table for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.513+0000] {serde.py:346} DEBUG - registering pyiceberg.table.Table for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.513+0000] {serde.py:354} DEBUG - registering pyiceberg.table.Table for stringifying
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.513+0000] {serde.py:339} DEBUG - registering kubernetes.client.models.v1_resource_requirements.V1ResourceRequirements for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.513+0000] {serde.py:339} DEBUG - registering kubernetes.client.models.v1_pod.V1Pod for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.513+0000] {serde.py:339} DEBUG - registering numpy.int8 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.int16 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.int32 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.int64 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.uint8 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.uint16 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.uint32 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.uint64 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.bool_ for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.514+0000] {serde.py:339} DEBUG - registering numpy.float64 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:339} DEBUG - registering numpy.float16 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:339} DEBUG - registering numpy.complex128 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:339} DEBUG - registering numpy.complex64 for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:346} DEBUG - registering numpy.int8 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:346} DEBUG - registering numpy.int16 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:346} DEBUG - registering numpy.int32 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:346} DEBUG - registering numpy.int64 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:346} DEBUG - registering numpy.uint8 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:346} DEBUG - registering numpy.uint16 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.515+0000] {serde.py:346} DEBUG - registering numpy.uint32 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.516+0000] {serde.py:346} DEBUG - registering numpy.uint64 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.516+0000] {serde.py:346} DEBUG - registering numpy.bool_ for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.516+0000] {serde.py:346} DEBUG - registering numpy.float64 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.516+0000] {serde.py:346} DEBUG - registering numpy.float16 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.516+0000] {serde.py:346} DEBUG - registering numpy.complex128 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.516+0000] {serde.py:346} DEBUG - registering numpy.complex64 for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.516+0000] {serde.py:339} DEBUG - registering pandas.core.frame.DataFrame for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.516+0000] {serde.py:346} DEBUG - registering pandas.core.frame.DataFrame for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.517+0000] {serde.py:339} DEBUG - registering pendulum.tz.timezone.FixedTimezone for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.517+0000] {serde.py:339} DEBUG - registering pendulum.tz.timezone.Timezone for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.517+0000] {serde.py:339} DEBUG - registering backports.zoneinfo.ZoneInfo for serialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.517+0000] {serde.py:346} DEBUG - registering pendulum.tz.timezone.FixedTimezone for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.517+0000] {serde.py:346} DEBUG - registering pendulum.tz.timezone.Timezone for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.517+0000] {serde.py:346} DEBUG - registering backports.zoneinfo.ZoneInfo for deserialization
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.517+0000] {serde.py:357} DEBUG - loading serializers took 0.009 seconds
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.590+0000] {settings.py:484} DEBUG - User session lifetime is set to 43200 minutes.
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.591+0000] {settings.py:342} DEBUG - settings.prepare_engine_args(): Using pool settings. pool_size=5, max_overflow=10, pool_recycle=1800, pid=37
airflow-docker-compose-fec-airflow-webserver-1  | [2024-01-24T15:07:36.597+0000] {logging_config.py:54} DEBUG - Unable to load custom logging, using default config instead
