airflow-docker-compose-fec-airflow-scheduler-1  | 
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.570+0000] {serde.py:354} DEBUG - registering pyiceberg.table.Table for stringifying
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.571+0000] {serde.py:339} DEBUG - registering kubernetes.client.models.v1_resource_requirements.V1ResourceRequirements for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.571+0000] {serde.py:339} DEBUG - registering kubernetes.client.models.v1_pod.V1Pod for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.571+0000] {serde.py:339} DEBUG - registering numpy.int8 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.571+0000] {serde.py:339} DEBUG - registering numpy.int16 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.571+0000] {serde.py:339} DEBUG - registering numpy.int32 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.int64 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.uint8 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.uint16 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.uint32 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.uint64 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.bool_ for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.float64 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.float16 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.572+0000] {serde.py:339} DEBUG - registering numpy.complex128 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:339} DEBUG - registering numpy.complex64 for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:346} DEBUG - registering numpy.int8 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:346} DEBUG - registering numpy.int16 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:346} DEBUG - registering numpy.int32 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:346} DEBUG - registering numpy.int64 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:346} DEBUG - registering numpy.uint8 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:346} DEBUG - registering numpy.uint16 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:346} DEBUG - registering numpy.uint32 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.573+0000] {serde.py:346} DEBUG - registering numpy.uint64 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.574+0000] {serde.py:346} DEBUG - registering numpy.bool_ for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.574+0000] {serde.py:346} DEBUG - registering numpy.float64 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.574+0000] {serde.py:346} DEBUG - registering numpy.float16 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.574+0000] {serde.py:346} DEBUG - registering numpy.complex128 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.574+0000] {serde.py:346} DEBUG - registering numpy.complex64 for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.574+0000] {serde.py:339} DEBUG - registering pandas.core.frame.DataFrame for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.574+0000] {serde.py:346} DEBUG - registering pandas.core.frame.DataFrame for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.575+0000] {serde.py:339} DEBUG - registering pendulum.tz.timezone.FixedTimezone for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.575+0000] {serde.py:339} DEBUG - registering pendulum.tz.timezone.Timezone for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.575+0000] {serde.py:339} DEBUG - registering backports.zoneinfo.ZoneInfo for serialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.575+0000] {serde.py:346} DEBUG - registering pendulum.tz.timezone.FixedTimezone for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.575+0000] {serde.py:346} DEBUG - registering pendulum.tz.timezone.Timezone for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.575+0000] {serde.py:346} DEBUG - registering backports.zoneinfo.ZoneInfo for deserialization
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:46.575+0000] {serde.py:357} DEBUG - loading serializers took 0.010 seconds
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.053+0000] {cli_action_loggers.py:67} DEBUG - Calling callbacks: [<function default_action_log at 0x7f95c4147ca0>]
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.222+0000] {providers_manager.py:375} DEBUG - Initializing Providers Manager[config]
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.222+0000] {providers_manager.py:375} DEBUG - Initializing Providers Manager[list]
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.245+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.mysql.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-mysql
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.246+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.openlineage.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-openlineage
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.248+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.hashicorp.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-hashicorp
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.250+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.google.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-google
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.256+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.cncf.kubernetes.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-cncf-kubernetes
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.260+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.sendgrid.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-sendgrid
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.261+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.microsoft.azure.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-microsoft-azure
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.264+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.ftp.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-ftp
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.265+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.ssh.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-ssh
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.267+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.postgres.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-postgres
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.268+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.docker.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-docker
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.269+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.elasticsearch.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-elasticsearch
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.272+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.slack.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-slack
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.273+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.grpc.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-grpc
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.274+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.odbc.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-odbc
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.275+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.sftp.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-sftp
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.276+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.common.sql.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-common-sql
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.278+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.common.io.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-common-io
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.279+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.imap.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-imap
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.280+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.redis.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-redis
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.281+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.celery.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-celery
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.286+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.snowflake.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-snowflake
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.288+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.sqlite.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-sqlite
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.289+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.http.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-http
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.291+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.amazon.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-amazon
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.296+0000] {providers_manager.py:601} DEBUG - Loading EntryPoint(name='provider_info', value='airflow.providers.daskexecutor.get_provider_info:get_provider_info', group='apache_airflow_provider') from package apache-airflow-providers-daskexecutor
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.297+0000] {providers_manager.py:378} DEBUG - Initialization of Providers Manager[list] took 0.07 seconds
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.297+0000] {configuration.py:1816} DEBUG - Loading providers configuration
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.317+0000] {providers_manager.py:378} DEBUG - Initialization of Providers Manager[config] took 0.10 seconds
airflow-docker-compose-fec-airflow-scheduler-1  |   ____________       _____________
airflow-docker-compose-fec-airflow-scheduler-1  |  ____    |__( )_________  __/__  /________      __
airflow-docker-compose-fec-airflow-scheduler-1  | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
airflow-docker-compose-fec-airflow-scheduler-1  | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
airflow-docker-compose-fec-airflow-scheduler-1  |  _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.390+0000] {plugins_manager.py:328} DEBUG - Loading plugins
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.390+0000] {plugins_manager.py:254} DEBUG - Loading plugins from directory: /opt/airflow/plugins
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.390+0000] {plugins_manager.py:234} DEBUG - Loading plugins from entrypoints
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.390+0000] {plugins_manager.py:237} DEBUG - Importing entry_point plugin openlineage
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.425+0000] {plugins_manager.py:346} DEBUG - Loading 1 plugin(s) took 0.04 seconds
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.426+0000] {task_context_logger.py:63} INFO - Task context logging is enabled
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.426+0000] {executor_loader.py:108} DEBUG - Loading executor airflow.providers.daskexecutor.executors.dask_executor.DaskExecutor from custom path
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.426+0000] {executor_loader.py:115} INFO - Loaded executor: airflow.providers.daskexecutor.executors.dask_executor.DaskExecutor
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.447+0000] {scheduler_job_runner.py:808} INFO - Starting the scheduler
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.447+0000] {scheduler_job_runner.py:815} INFO - Processing each file at most -1 times
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.448+0000] {scheduler_job_runner.py:836} DEBUG - Using PipeCallbackSink as callback sink.
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.450+0000] {selector_events.py:59} DEBUG - Using selector: EpollSelector
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.451+0000] {selector_events.py:59} DEBUG - Using selector: EpollSelector
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.736+0000] {manager.py:169} INFO - Launched DagFileProcessorManager with pid: 54
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.738+0000] {scheduler_job_runner.py:1619} INFO - Adopting or resetting orphaned tasks for active dag runs
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.740+0000] {settings.py:60} INFO - Configured default timezone UTC
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.745+0000] {scheduler_job_runner.py:1624} DEBUG - Running SchedulerJob.adopt_or_reset_orphaned_tasks with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.746+0000] {scheduler_job_runner.py:1629} DEBUG - Calling SchedulerJob.adopt_or_reset_orphaned_tasks method
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.757+0000] {settings.py:495} DEBUG - No airflow_local_settings to import.
airflow-docker-compose-fec-airflow-scheduler-1  | Traceback (most recent call last):
airflow-docker-compose-fec-airflow-scheduler-1  |   File "/home/airflow/.local/lib/python3.8/site-packages/airflow/settings.py", line 492, in import_local_settings
airflow-docker-compose-fec-airflow-scheduler-1  |     import airflow_local_settings
airflow-docker-compose-fec-airflow-scheduler-1  | ModuleNotFoundError: No module named 'airflow_local_settings'
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.757+0000] {logging_config.py:54} DEBUG - Unable to load custom logging, using default config instead
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.762+0000] {settings.py:241} DEBUG - Setting up DB connection pool (PID 54)
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.763+0000] {settings.py:342} DEBUG - settings.prepare_engine_args(): Using pool settings. pool_size=5, max_overflow=10, pool_recycle=1800, pid=54
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.764+0000] {retries.py:93} DEBUG - Running SchedulerJobRunner._create_dagruns_for_dags with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.777+0000] {serialized_dag.py:260} DEBUG - Deleting Serialized DAGs (for which DAG files are deleted) from serialized_dag table 
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.777+0000] {retries.py:93} DEBUG - Running SchedulerJobRunner._get_next_dagruns_to_examine with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.781+0000] {dag.py:3713} DEBUG - Deactivating DAGs (for which DAG files are deleted) from dag table 
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.783+0000] {retries.py:93} DEBUG - Running SchedulerJobRunner._get_next_dagruns_to_examine with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.786+0000] {retries.py:93} DEBUG - Running SchedulerJobRunner._schedule_all_dag_runs with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.791+0000] {dagcode.py:144} DEBUG - Deleting code from dag_code table 
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.801+0000] {scheduler_job_runner.py:419} DEBUG - No tasks to consider for execution.
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.802+0000] {base_executor.py:217} DEBUG - 0 running task instances
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.802+0000] {base_executor.py:218} DEBUG - 0 in queue
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.802+0000] {base_executor.py:219} DEBUG - 0 open slots
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.802+0000] {base_executor.py:238} DEBUG - Calling the <class 'airflow.providers.daskexecutor.executors.dask_executor.DaskExecutor'> sync method
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.803+0000] {retries.py:93} DEBUG - Running DagWarning._purge_inactive_dag_warnings_with_retry with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.805+0000] {manager.py:258} DEBUG - Received message of type DagParsingStat
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.816+0000] {scheduler_job_runner.py:1002} DEBUG - Next timed event is in 4.947384
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:47.817+0000] {scheduler_job_runner.py:1004} DEBUG - Ran scheduling loop in 0.05 seconds
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.798+0000] {retries.py:93} DEBUG - Running DagWarning._purge_inactive_dag_warnings_with_retry with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.807+0000] {retries.py:93} DEBUG - Running DagWarning._purge_inactive_dag_warnings_with_retry with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.818+0000] {retries.py:93} DEBUG - Running SchedulerJobRunner._create_dagruns_for_dags with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.840+0000] {retries.py:93} DEBUG - Running SchedulerJobRunner._get_next_dagruns_to_examine with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.852+0000] {retries.py:93} DEBUG - Running SchedulerJobRunner._get_next_dagruns_to_examine with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.855+0000] {retries.py:93} DEBUG - Running SchedulerJobRunner._schedule_all_dag_runs with retries. Try 1 of 3
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.862+0000] {scheduler_job_runner.py:419} DEBUG - No tasks to consider for execution.
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.866+0000] {base_executor.py:217} DEBUG - 0 running task instances
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.867+0000] {base_executor.py:218} DEBUG - 0 in queue
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.867+0000] {base_executor.py:219} DEBUG - 0 open slots
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.867+0000] {base_executor.py:238} DEBUG - Calling the <class 'airflow.providers.daskexecutor.executors.dask_executor.DaskExecutor'> sync method
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.867+0000] {manager.py:258} DEBUG - Received message of type DagParsingStat
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.868+0000] {manager.py:258} DEBUG - Received message of type DagParsingStat
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.878+0000] {scheduler_job_runner.py:1002} DEBUG - Next timed event is in 3.885508
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:48.879+0000] {scheduler_job_runner.py:1004} DEBUG - Ran scheduling loop in 0.06 seconds
airflow-docker-compose-fec-airflow-scheduler-1  | [2024-01-24T15:11:49.809+0000] {retries.py:93} DEBUG - Running DagWarning._purge_inactive_dag_warnings_with_retry with retries. Try 1 of 3
